Date,Submitted,Verified,Primary_t,Realtime_t,Category
2022-04-04,2022-04-04T13:28:32Z,verified,1175,1175,Any% Unrestricted
2022-04-04,2022-04-04T21:38:06Z,verified,1063,1063,Any% Unrestricted
2022-04-06,2022-04-06T14:59:37Z,verified,1072,1072,Any% Unrestricted
2022-04-06,2022-04-07T12:52:55Z,verified,965,965,Any% Unrestricted
2022-04-07,2022-04-07T22:58:18Z,verified,855,855,Any% Unrestricted
2022-04-07,2022-04-08T20:47:23Z,verified,752,752,Any% Unrestricted
2022-04-10,2022-04-10T20:23:59Z,verified,740,740,Any% Unrestricted
2022-04-10,2022-04-11T09:45:15Z,verified,580,580,Any% Unrestricted
2022-04-11,2022-04-11T05:17:29Z,verified,536,536,Any% Unrestricted
2022-04-12,2022-04-12T17:19:26Z,verified,419,419,Any% Unrestricted
2022-04-15,2022-04-15T01:52:33Z,verified,436,436,Any% Unrestricted
2022-04-16,2022-04-16T18:58:23Z,verified,406,406,Any% Unrestricted
2022-04-18,2022-04-18T20:01:30Z,verified,398,398,Any% Unrestricted
2022-04-21,2022-04-21T19:49:46Z,verified,358,358,Any% Unrestricted
2022-07-04,2022-07-04T15:54:50Z,verified,512,512,Any% Unrestricted
2022-07-08,2022-07-08T08:32:16Z,verified,416,416,Any% Unrestricted
2022-07-15,2022-07-15T12:45:12Z,verified,310,310,Any% Unrestricted
2022-07-18,2022-07-18T17:08:16Z,verified,298,298,Any% Unrestricted
2022-07-21,2022-07-21T10:41:05Z,verified,272,272,Any% Unrestricted
2022-07-21,2022-07-21T18:10:05Z,verified,263,263,Any% Unrestricted
2022-07-26,2022-07-26T13:11:51Z,verified,246,246,Any% Unrestricted
2022-07-30,2022-07-30T18:30:33Z,verified,238,238,Any% Unrestricted
2022-08-09,2022-08-09T06:05:18Z,verified,242,242,Any% Unrestricted
2022-08-15,2022-08-15T05:23:36Z,verified,236,236,Any% Unrestricted
2023-02-21,2023-02-19T16:35:07Z,verified,398,398,Any% Unrestricted
2023-02-23,2023-02-23T14:44:05Z,verified,358,358,Any% Unrestricted
2023-05-31,2023-05-31T12:13:15Z,verified,282,282,Any% Unrestricted
2023-08-27,2023-10-28T16:02:43Z,verified,10146,10146,Any% Unrestricted
2023-12-16,2023-12-16T16:03:26Z,verified,3238,3238,Any% Unrestricted
2023-12-26,2023-12-29T04:26:25Z,verified,309,309,Any% Unrestricted
2023-12-30,2023-12-31T14:38:09Z,verified,260,260,Any% Unrestricted
2024-01-10,2024-01-10T09:08:06Z,verified,2878,2878,Any% Unrestricted
2022-03-18,2022-03-25T19:21:57Z,verified,3780,3780,Any% No Wrong Warp
2022-03-25,2022-03-26T00:54:33Z,verified,6507,6507,Any% No Wrong Warp
2022-03-28,2022-03-29T01:14:24Z,verified,3654,3654,Any% No Wrong Warp
2022-04-02,2022-04-02T21:33:48Z,verified,5882,5882,Any% No Wrong Warp
2022-04-04,2022-04-04T07:32:09Z,verified,5387,5387,Any% No Wrong Warp
2022-04-04,2022-04-04T14:59:37Z,verified,3561,3561,Any% No Wrong Warp
2022-04-05,2022-04-05T18:55:12Z,verified,5822,5822,Any% No Wrong Warp
2022-04-06,2022-04-06T07:06:31Z,verified,6508,6508,Any% No Wrong Warp
2022-04-06,2022-04-06T12:44:43Z,verified,3508,3508,Any% No Wrong Warp
